recommended_titles,# movies
"['Forrest Gump (1994)', 'Toy Story (1995)', 'Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",53
"['Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'Shrek (2001)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)']",148
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",61
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Braveheart (1995)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)']",56
"['American Beauty (1999)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",377
"['Pulp Fiction (1994)', 'Toy Story (1995)', 'Ace Ventura: Pet Detective (1994)', 'Princess Bride, The (1987)']",273
"['Apollo 13 (1995)', 'Lion King, The (1994)']",722
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Toy Story (1995)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Apollo 13 (1995)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Aladdin (1992)', 'True Lies (1994)', 'Lion King, The (1994)', 'Back to the Future (1985)']",33
"['Forrest Gump (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",34
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",76
"['Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",127
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lion King, The (1994)', 'Gladiator (2000)']",51
"['Pulp Fiction (1994)', 'Toy Story (1995)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Groundhog Day (1993)']",646
"['Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Batman (1989)', 'True Lies (1994)', 'Speed (1994)']",65
"['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",150
"['Jurassic Park (1993)', 'Toy Story (1995)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Apollo 13 (1995)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Return of the King, The (2003)', 'Aladdin (1992)', 'True Lies (1994)', 'Lion King, The (1994)', 'Back to the Future (1985)']",31
"['Forrest Gump (1994)', 'Toy Story (1995)', 'Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",112
"['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)']",87
"['Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",165
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",22
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'True Lies (1994)', 'Speed (1994)']",215
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",22
"['Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",58
"['Toy Story (1995)', 'Aladdin (1992)', 'True Lies (1994)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)']",292
"['Forrest Gump (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",56
"[""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",50
"[""Schindler's List (1993)"", 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",360
"['Matrix, The (1999)', 'Fight Club (1999)', 'Usual Suspects, The (1995)', 'Independence Day (a.k.a. ID4) (1996)', 'Fargo (1996)', 'Twelve Monkeys (a.k.a. 12 Monkeys) (1995)', 'Mission: Impossible (1996)']",38
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",22
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",33
"['Terminator 2: Judgment Day (1991)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Batman (1989)', 'True Lies (1994)', 'Speed (1994)']",140
"['Forrest Gump (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",28
"[""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",69
"['Braveheart (1995)', ""Schindler's List (1993)"", 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",347
"['Matrix, The (1999)', 'Fight Club (1999)', 'Fargo (1996)', 'Mission: Impossible (1996)']",35
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Speed (1994)']",35
"['Forrest Gump (1994)', 'Aladdin (1992)', 'Back to the Future (1985)', 'Ace Ventura: Pet Detective (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)']",279
"['Forrest Gump (1994)', 'Toy Story (1995)', 'Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",111
"['American Beauty (1999)', 'Lion King, The (1994)']",141
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",22
"['Matrix, The (1999)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'True Lies (1994)', 'Speed (1994)']",194
"['Fight Club (1999)', 'Sixth Sense, The (1999)']",608
"['Fargo (1996)', 'True Lies (1994)']",168
"['Shawshank Redemption, The (1994)', 'Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",38
"['Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",71
"['Fargo (1996)', 'Back to the Future (1985)', 'Mask, The (1994)', 'Princess Bride, The (1987)']",128
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Return of the King, The (2003)', 'Lion King, The (1994)', 'Back to the Future (1985)']",23
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",32
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",20
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Toy Story (1995)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Apollo 13 (1995)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Aladdin (1992)', 'True Lies (1994)', 'Lion King, The (1994)', 'Back to the Future (1985)']",48
"['Matrix, The (1999)', 'Inception (2010)', 'Star Wars: Episode I - The Phantom Menace (1999)', 'X-Men (2000)']",58
"['Pulp Fiction (1994)', 'Silence of the Lambs, The (1991)', 'Matrix, The (1999)', 'Jurassic Park (1993)', 'Fight Club (1999)', 'Usual Suspects, The (1995)', 'Seven (a.k.a. Se7en) (1995)', 'Fugitive, The (1993)', 'Batman (1989)', 'True Lies (1994)', 'Speed (1994)']",26
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Princess Bride, The (1987)']",59
"['Forrest Gump (1994)', 'Braveheart (1995)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",63
"['Shawshank Redemption, The (1994)', 'Braveheart (1995)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",179
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",34
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",46
"['Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)']",398
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",21
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",26
"[""Schindler's List (1993)"", 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",97
['True Lies (1994)'],437
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Aladdin (1992)', 'Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",39
"['Braveheart (1995)', 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",38
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Toy Story (1995)', 'Aladdin (1992)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",23
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Fight Club (1999)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",36
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",65
"['Braveheart (1995)', 'Apollo 13 (1995)', 'Lion King, The (1994)']",190
"['True Lies (1994)', 'Back to the Future (1985)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Mrs. Doubtfire (1993)']",173
"['Shawshank Redemption, The (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",94
"['Pulp Fiction (1994)', 'Fargo (1996)', 'True Lies (1994)', 'Mask, The (1994)']",269
"[""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Gladiator (2000)']",50
"['Forrest Gump (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",82
"['Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Toy Story (1995)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Apollo 13 (1995)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Lord of the Rings: The Fellowship of the Ring, The (2001)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Return of the King, The (2003)', 'Aladdin (1992)', 'True Lies (1994)', 'Lion King, The (1994)']",26
"['Toy Story (1995)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",25
"['Toy Story (1995)', 'Fargo (1996)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",67
"['Forrest Gump (1994)', 'Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",24
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)']",36
[],904
"['Apollo 13 (1995)', 'Godfather, The (1972)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",77
"['Aladdin (1992)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",69
"['Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Independence Day (a.k.a. ID4) (1996)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",24
"['Shawshank Redemption, The (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",118
"['Lion King, The (1994)']",977
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Fight Club (1999)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Lord of the Rings: The Return of the King, The (2003)']",57
"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Jurassic Park (1993)', 'Braveheart (1995)', 'Terminator 2: Judgment Day (1991)', 'Fight Club (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Independence Day (a.k.a. ID4) (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Batman (1989)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'True Lies (1994)', 'Speed (1994)']",134
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Fargo (1996)', 'True Lies (1994)', 'Back to the Future (1985)', 'Shrek (2001)', 'Men in Black (a.k.a. MIB) (1997)', 'Ace Ventura: Pet Detective (1994)', 'Mask, The (1994)', 'Pirates of the Caribbean: The Curse of the Black Pearl (2003)', 'Mrs. Doubtfire (1993)', 'Groundhog Day (1993)', 'Princess Bride, The (1987)']",47
"['Apollo 13 (1995)', 'Lord of the Rings: The Two Towers, The (2002)', 'Lord of the Rings: The Return of the King, The (2003)', 'Back to the Future (1985)']",226
"['Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)']",258
"['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",48
"['Pulp Fiction (1994)', 'Braveheart (1995)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Fargo (1996)', 'Lion King, The (1994)']",20
"['Forrest Gump (1994)', 'Pulp Fiction (1994)', 'Braveheart (1995)', 'American Beauty (1999)', 'Apollo 13 (1995)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Fargo (1996)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",66
"['Forrest Gump (1994)', ""Schindler's List (1993)"", 'Fight Club (1999)', 'American Beauty (1999)', 'Godfather, The (1972)', 'Saving Private Ryan (1998)', 'Lord of the Rings: The Return of the King, The (2003)', 'Sixth Sense, The (1999)', 'Lion King, The (1994)', 'Gladiator (2000)']",85
